learning_rate,weight_decay,batch_size,save_file,numIters,time,eval_acc,loss_min,loss_mean,loss_max,train_acc_min,train_acc_mean,train_acc_max,val_acc_min,val_acc_mean,val_acc_max
0.0001,1e-06,32,\test_full_base_model_2,20000,115.03,0.187,1.9714219507208752,2.2931914923547674,2.2931914923547674,0.0,0.14785,0.14785,0.086,0.12416,0.12416
0.01,1e-06,32,\test_full_base_model_3,15000,115.03,0.4498,0.9116276502304148,1.6387850949982898,1.6387850949982898,0.0,0.4099083333333333,0.4099083333333333,0.109,0.3950066666666667,0.3950066666666667
0.001,1e-06,32,\test_full_base_model_4,15000,90.62,0.358,1.352807550084586,2.020540663556479,2.020540663556479,0.0,0.2666,0.2666,0.073,0.2615066666666666,0.2615066666666666
0.01,1e-06,64,\test_full_base_model_5,15000,173.16,0.4466,1.1501034646107886,1.6458043297914642,1.6458043297914642,0.03125,0.4128395833333333,0.4128395833333333,0.104,0.4029733333333333,0.4029733333333333
0.01,1e-05,64,\test_full_base_model_6,15000,171.56,0.4849,1.0613058467040173,1.6173637376845165,1.6173637376845165,0.03125,0.4285385416666666,0.4285385416666666,0.1,0.4174333333333333,0.4174333333333333
0.1,1e-05,64,\test_full_base_model_8,15000,176.55,0.3533,1.239789424798806,1.823007493457692,1.823007493457692,0.03125,0.3647697916666667,0.3647697916666667,0.064,0.3252266666666666,0.3252266666666666
0.01,0.0001,64,\test_full_base_model_9,15000,175.55,0.4655,1.1029921112104262,1.5896044436608363,1.5896044436608363,0.03125,0.4316083333333333,0.4316083333333333,0.069,0.42456,0.42456
0.01,1e-05,128,\test_full_base_model_7,15000,341.91,0.4744,1.1718739218858265,1.5934692972609963,1.5934692972609963,0.0625,0.43055520833333333,0.43055520833333333,0.07,0.41278000000000004,0.41278000000000004
